id,pi_list,pi_cs_code,pi_part_code,pi_curr,pi_um,pi_start,pi_expire,pi_list_price,created_at,updated_at,edited_by,x,,
0,327-2104,BINTANA,327-3623 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3623 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3623 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3685 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3685 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3685 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3809 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3809 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3809 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4507 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4507 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4523 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4523 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4683 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4683 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4683 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4684 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4684 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-4684 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5262 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5262 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5263 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5263 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5264 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5264 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5266 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5266 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5290 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-5290 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
